method,fraction,run,algorithm,auc_score
nar,0.1,2,ModelScorer,0.8571428571428571
nar,0.1,3,AUMScorer,0.5685001336166746
nar,0.1,3,RandomForestScorer,0.8481030676959098
nar,0.1,3,ModelScorer,0.8571428571428572
nar,0.1,4,AUMScorer,0.8436884984817902
nar,0.1,4,RandomForestScorer,0.7564559358762124
nar,0.1,4,ModelScorer,0.5714285714285714
nar,0.1,5,AUMScorer,0.9028150054049476
nar,0.1,5,RandomForestScorer,0.790412268227985
nar,0.1,5,ModelScorer,0.7142857142857143
nar,0.1,6,AUMScorer,0.8268857226672348
nar,0.1,6,RandomForestScorer,0.7951398777545701
nar,0.1,6,ModelScorer,0.5714285714285714
nar,0.1,7,AUMScorer,0.8447772692482072
nar,0.1,7,RandomForestScorer,0.859885544588417
nar,0.1,7,ModelScorer,0.7857142857142857
nar,0.1,8,AUMScorer,0.8155138629099359
nar,0.1,8,RandomForestScorer,0.8149171270718233
nar,0.1,8,ModelScorer,0.8571428571428572
nar,0.1,9,AUMScorer,0.6928016626087441
nar,0.1,9,RandomForestScorer,0.7755620636086088
nar,0.1,9,ModelScorer,0.6428571428571428
nar,0.15,0,AUMScorer,0.8853891894378721
nar,0.15,0,RandomForestScorer,0.7619793191926775
nar,0.15,0,ModelScorer,0.9285714285714284
nar,0.15,1,AUMScorer,0.6986957172327335
nar,0.15,1,RandomForestScorer,0.712869899272044
nar,0.15,1,ModelScorer,0.7142857142857143
nar,0.15,2,AUMScorer,0.607839710528266
nar,0.15,2,RandomForestScorer,0.8174585515523248
nar,0.15,2,ModelScorer,0.6428571428571429
nar,0.15,3,AUMScorer,0.7928433056233981
nar,0.15,3,RandomForestScorer,0.7905906550152898
nar,0.15,3,ModelScorer,0.7142857142857142
nar,0.15,4,AUMScorer,0.8759002957092759
nar,0.15,4,RandomForestScorer,0.7967672568938757
nar,0.15,4,ModelScorer,0.7857142857142856
nar,0.15,5,AUMScorer,0.8761619747620657
nar,0.15,5,RandomForestScorer,0.8123825907939883
nar,0.15,5,ModelScorer,0.7142857142857143
nar,0.15,6,AUMScorer,0.8349977678137305
nar,0.15,6,RandomForestScorer,0.7677070915634496
nar,0.15,6,ModelScorer,0.7857142857142857
nar,0.15,7,AUMScorer,0.8322950733383809
nar,0.15,7,RandomForestScorer,0.7752965029642765
nar,0.15,7,ModelScorer,0.8571428571428571
nar,0.15,8,AUMScorer,0.8620490975780999
nar,0.15,8,RandomForestScorer,0.7704429722847586
nar,0.15,8,ModelScorer,0.9285714285714284
nar,0.15,9,AUMScorer,0.6724071222137538
nar,0.15,9,RandomForestScorer,0.8117290234425465
nar,0.15,9,ModelScorer,0.7142857142857143
nar,0.2,0,AUMScorer,0.441876834226931
nar,0.2,0,RandomForestScorer,0.6577790001077306
nar,0.2,0,ModelScorer,0.6428571428571429
nar,0.2,1,AUMScorer,0.5460922609605348
nar,0.2,1,RandomForestScorer,0.7658335265934499
nar,0.2,1,ModelScorer,0.7857142857142857
nar,0.2,2,AUMScorer,0.6065262831665024
nar,0.2,2,RandomForestScorer,0.7337057942422439
nar,0.2,2,ModelScorer,0.7142857142857143
nar,0.2,3,AUMScorer,0.7421880242112932
nar,0.2,3,RandomForestScorer,0.7253502886180367
nar,0.2,3,ModelScorer,0.7857142857142857
nar,0.2,4,AUMScorer,0.603418165018095
nar,0.2,4,RandomForestScorer,0.7534898251020556
nar,0.2,4,ModelScorer,0.7857142857142857
nar,0.2,5,AUMScorer,0.7419362041986506
nar,0.2,5,RandomForestScorer,0.668807483993207
nar,0.2,5,ModelScorer,0.5714285714285714
nar,0.2,6,AUMScorer,0.5599043988585937
nar,0.2,6,RandomForestScorer,0.6996957347216104
nar,0.2,6,ModelScorer,0.7857142857142857
nar,0.2,7,AUMScorer,0.7673865063283922
nar,0.2,7,RandomForestScorer,0.7702547631754867
nar,0.2,7,ModelScorer,0.6428571428571429
nar,0.2,8,AUMScorer,0.6894797105739598
nar,0.2,8,RandomForestScorer,0.6716056175588737
nar,0.2,8,ModelScorer,0.6428571428571428
nar,0.2,9,AUMScorer,0.7423629294405125
nar,0.2,9,RandomForestScorer,0.759918696221348
nar,0.2,9,ModelScorer,0.7857142857142857
nar,0.25,0,AUMScorer,0.7713020809099056
nar,0.25,0,RandomForestScorer,0.7423036876230973
nar,0.25,0,ModelScorer,0.7142857142857143
nar,0.25,1,AUMScorer,0.751651995474482
nar,0.25,1,RandomForestScorer,0.7503789537486492
nar,0.25,1,ModelScorer,0.7857142857142857
nar,0.25,2,AUMScorer,0.6851426715189843
nar,0.25,2,RandomForestScorer,0.4725236273822916
nar,0.25,2,ModelScorer,0.5714285714285714
nar,0.25,3,AUMScorer,0.7364793002578784
nar,0.25,3,RandomForestScorer,0.7437077660860951
nar,0.25,3,ModelScorer,0.7142857142857143
nar,0.25,4,AUMScorer,0.5894603446897038
nar,0.25,4,RandomForestScorer,0.7182671264442365
nar,0.25,4,ModelScorer,0.6428571428571429
nar,0.25,5,AUMScorer,0.5887224540964329
